model,Test,Accuracy,F1-score,AUC
Blip2,LDM,99.125,99.1300024857072,99.125
Blip2,ADM,85.24000000000001,82.9738147421848,85.24000000000001
Blip2,DDPM,98.47,98.468775020016,98.47
Blip2,IDDPM,97.02,96.97369757286484,97.02
Blip2,PNDM,99.22,99.22519121883381,99.22000000000001
